Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Babym,2025-05-10 06:06:15,00:03:59,,Anyone But You,,Apple iPhone XR,00:10:52,00:10:52,NG (Nigeria)
Babym,2025-05-09 20:58:50,00:04:52,,Anyone But You,,Apple iPhone XR,00:06:53,Not latest view,NG (Nigeria)
Babym,2025-05-09 20:13:17,00:37:10,,Chief Daddy 2 - Going for Broke,,Apple iPhone XR,01:49:10,01:49:10,NG (Nigeria)
Babym,2025-05-09 17:46:56,00:11:49,,Chief Daddy 2 - Going for Broke,,Apple iPhone XR,01:13:20,Not latest view,NG (Nigeria)
Babym,2025-05-08 15:35:24,00:01:12,,The Year I Started Masturbating,,Apple iPhone XR,00:01:12,00:01:12,NG (Nigeria)
Babym,2025-05-08 11:34:28,00:41:17,,Chief Daddy 2 - Going for Broke,,Apple iPhone XR,01:01:30,Not latest view,NG (Nigeria)
Babym,2025-05-08 08:55:15,00:20:23,,Chief Daddy 2 - Going for Broke,,Apple iPhone XR,00:20:23,Not latest view,NG (Nigeria)
Babym,2025-05-08 08:55:06,00:00:05,Autoplayed: user action: None; ,Trailer: Chief Daddy 2,TRAILER,Apple iPhone XR,00:00:06,00:00:06,NG (Nigeria)
Babym,2025-05-07 19:42:13,00:10:49,,Like a Boss,,Apple iPhone XR,00:50:34,00:50:34,NG (Nigeria)
Babym,2025-05-06 08:50:16,00:15:55,,Like a Boss,,Apple iPhone XR,00:39:44,Not latest view,NG (Nigeria)
Babym,2025-05-04 21:17:14,00:16:37,,Like a Boss,,Apple iPhone XR,00:23:48,Not latest view,NG (Nigeria)
Babym,2025-05-04 20:47:56,00:01:14,,Like a Boss,,Apple iPhone XR,00:07:11,Not latest view,NG (Nigeria)
Babym,2025-05-04 19:41:32,00:00:08,,Like a Boss,,Apple iPhone XR,00:05:57,Not latest view,NG (Nigeria)
Babym,2025-05-04 19:41:27,00:00:04,Autoplayed: user action: None; ,Like a Boss_hook_02_16x9,HOOK,Apple iPhone XR,00:00:04,00:00:04,NG (Nigeria)
Babym,2025-05-04 19:15:11,00:05:49,,Like a Boss,,Apple iPhone XR,00:05:49,Not latest view,NG (Nigeria)
Babym,2025-05-04 19:15:03,00:00:05,Autoplayed: user action: None; ,Like a Boss_hook_02_16x9,HOOK,Apple iPhone XR,00:00:05,Not latest view,NG (Nigeria)
Babym,2025-05-04 14:47:32,00:06:37,,A Family Affair,,Apple iPhone XR,01:18:26,01:18:26,NG (Nigeria)
Babym,2025-05-04 09:33:22,00:17:33,,A Family Affair,,Apple iPhone XR,01:11:49,Not latest view,NG (Nigeria)
Babym,2025-05-04 08:25:53,00:00:43,,A Family Affair,,Apple iPhone XR,00:54:16,Not latest view,NG (Nigeria)
Babym,2025-05-03 10:59:02,00:00:21,,Sleeping Princess,,Apple iPhone XR,00:00:21,00:00:21,NG (Nigeria)
Babym,2025-05-02 06:17:05,00:21:55,,Havoc,,Hisense MTK9602 5.2 4K TV Smart TV,01:06:48,01:06:48,NG (Nigeria)
Babym,2025-05-02 05:25:48,00:40:02,,Havoc,,Hisense MTK9602 5.2 4K TV Smart TV,00:40:02,Not latest view,NG (Nigeria)
Babym,2025-05-02 05:25:31,00:00:12,Autoplayed: user action: User_Interaction; ,Trailer: Havoc,TRAILER,Hisense MTK9602 5.2 4K TV Smart TV,00:00:12,00:00:12,NG (Nigeria)
